0	18553.80 
1	17853.40 
2	15319.10 
3	14003.80 
4	13583.00 
5	10517.00 
6	7538.60 
7	5659.10 
8	5651.70 
9	4071.90 
10	3839.60 
11	3756.30 
12	3535.40 
13	3470.20 
14	3345.80 
15	3077.70 
16	2903.20 
17	2808.00 
18	2525.80 
19	2276.90 
20	2230.80 
21	2200.80 
22	1963.00 
23	1932.90 
24	1911.40 
25	1878.50 
26	1845.50 
27	1721.60 
28	1681.50 
29	1666.00 
30	1660.60 
31	1650.30 
32	1480.30 
33	1473.50 
34	1303.10 
35	1218.00 
36	1212.50 
37	1140.70 
38	1112.80 
39	1105.70 
40	1097.40 
41	1077.90 
42	979.20 
43	922.10 
44	884.80 
45	871.10 
46	810.90 
47	810.80 
48	778.70 
49	754.00 
